id,total_len,nb_groups,len_groups,max_len_group
3647_BodoniURW-Reg_fs_50_y_Layer 2,19,3,"[6, 7, 6]",7
3649_BodoniURW-Reg_fs_50_0_Layer 2,12,1,[12],12
364_ACaslonPro-SemiboldItalic_fs_50_1_Layer 2,10,1,[10],10
3649_FranklinGothicURWCom-DemIta_fs_50_0_Layer 2,13,2,"[9, 4]",9
364_AntiqueOliCom-Reg_fs_50_1_Layer 2,8,1,[8],8
3650_BodoniURW-Reg_fs_50_1_Layer 2,10,1,[10],10
3650_FranklinGothicURWCom-DemIta_fs_50_1_Layer 2,12,1,[12],12
3651_BodoniURW-Reg_fs_50_2_Layer 2,20,2,"[14, 6]",14
3651_FranklinGothicURWCom-DemIta_fs_50_2_Layer 2,16,1,[16],16
3652_FranklinGothicURWCom-DemIta_fs_50_3_Layer 2,20,1,[20],20
3652_BodoniURW-Reg_fs_50_3_Layer 2,24,3,"[11, 6, 7]",11
3653_BodoniURW-Reg_fs_50_4_Layer 2,20,1,[20],20
3654_FranklinGothicURWCom-DemIta_fs_50_5_Layer 2,15,1,[15],15
3653_FranklinGothicURWCom-DemIta_fs_50_4_Layer 2,15,2,"[10, 5]",10
3654_BodoniURW-Reg_fs_50_5_Layer 2,24,3,"[8, 11, 5]",11
3655_BodoniURW-Reg_fs_50_6_Layer 2,14,1,[14],14
3656_BodoniURW-Reg_fs_50_7_Layer 2,14,1,[14],14
3655_FranklinGothicURWCom-DemIta_fs_50_6_Layer 2,17,2,"[14, 3]",14
3656_FranklinGothicURWCom-DemIta_fs_50_7_Layer 2,8,1,[8],8
3658_BodoniURW-Reg_fs_50_9_Layer 2,17,2,"[7, 10]",10
3657_BodoniURW-Reg_fs_50_8_Layer 2,26,3,"[5, 10, 11]",11
3657_FranklinGothicURWCom-DemIta_fs_50_8_Layer 2,19,3,"[9, 5, 5]",9
3658_FranklinGothicURWCom-DemIta_fs_50_9_Layer 2,16,2,"[13, 3]",13
3659_BodoniURW-RegObl_fs_50_A_Layer 2,15,1,[15],15
3659_FranklinGothicURWCon-BooIta_fs_50_A_Layer 2,13,2,"[8, 5]",8
365_ACaslonPro-SemiboldItalic_fs_50_2_Layer 2,17,1,[17],17
365_AntiqueOliCom-Reg_fs_50_2_Layer 2,17,1,[17],17
3660_BodoniURW-RegObl_fs_50_B_Layer 2,26,3,"[15, 6, 5]",15
3661_FranklinGothicURWCon-BooIta_fs_50_C_Layer 2,14,1,[14],14
3661_BodoniURW-RegObl_fs_50_C_Layer 2,19,3,"[9, 5, 5]",9
3660_FranklinGothicURWCon-BooIta_fs_50_B_Layer 2,21,3,"[9, 6, 6]",9
3662_BodoniURW-RegObl_fs_50_D_Layer 2,15,2,"[9, 6]",9
3663_BodoniURW-RegObl_fs_50_E_Layer 2,19,1,[19],19
3663_FranklinGothicURWCon-BooIta_fs_50_E_Layer 2,14,1,[14],14
3662_FranklinGothicURWCon-BooIta_fs_50_D_Layer 2,12,2,"[7, 5]",7
3664_BodoniURW-RegObl_fs_50_F_Layer 2,17,1,[17],17
3665_BodoniURW-RegObl_fs_50_G_Layer 2,18,1,[18],18
3665_FranklinGothicURWCon-BooIta_fs_50_G_Layer 2,18,1,[18],18
3664_FranklinGothicURWCon-BooIta_fs_50_F_Layer 2,11,1,[11],11
3666_FranklinGothicURWCon-BooIta_fs_50_H_Layer 2,13,1,[13],13
3666_BodoniURW-RegObl_fs_50_H_Layer 2,24,1,[24],24
3667_FranklinGothicURWCon-BooIta_fs_50_I_Layer 2,6,1,[6],6
3667_BodoniURW-RegObl_fs_50_I_Layer 2,10,1,[10],10
3668_FranklinGothicURWCon-BooIta_fs_50_J_Layer 2,9,1,[9],9
3668_BodoniURW-RegObl_fs_50_J_Layer 2,17,1,[17],17
3669_FranklinGothicURWCon-BooIta_fs_50_K_Layer 2,13,1,[13],13
366_ACaslonPro-SemiboldItalic_fs_50_3_Layer 2,16,1,[16],16
3669_BodoniURW-RegObl_fs_50_K_Layer 2,22,2,"[14, 8]",14
366_AntiqueOliCom-Reg_fs_50_3_Layer 2,17,1,[17],17
3670_BodoniURW-RegObl_fs_50_L_Layer 2,12,1,[12],12
3670_FranklinGothicURWCon-BooIta_fs_50_L_Layer 2,8,1,[8],8
3671_FranklinGothicURWCon-BooIta_fs_50_M_Layer 2,19,1,[19],19
3671_BodoniURW-RegObl_fs_50_M_Layer 2,33,4,"[10, 12, 5, 6]",12
3672_FranklinGothicURWCon-BooIta_fs_50_N_Layer 2,13,1,[13],13
3672_BodoniURW-RegObl_fs_50_N_Layer 2,35,4,"[10, 12, 5, 8]",12
3673_BodoniURW-RegObl_fs_50_O_Layer 2,12,1,[12],12
3675_BodoniURW-RegObl_fs_50_Q_Layer 2,15,1,[15],15
3673_FranklinGothicURWCon-BooIta_fs_50_O_Layer 2,17,2,"[8, 9]",9
3674_BodoniURW-RegObl_fs_50_P_Layer 2,20,2,"[14, 6]",14
3675_FranklinGothicURWCon-BooIta_fs_50_Q_Layer 2,19,2,"[10, 9]",10
3674_FranklinGothicURWCon-BooIta_fs_50_P_Layer 2,14,2,"[8, 6]",8
3676_FranklinGothicURWCon-BooIta_fs_50_R_Layer 2,18,2,"[12, 6]",12
3676_BodoniURW-RegObl_fs_50_R_Layer 2,25,2,"[19, 6]",19
3677_FranklinGothicURWCon-BooIta_fs_50_S_Layer 2,20,1,[20],20
3678_BodoniURW-RegObl_fs_50_T_Layer 2,13,1,[13],13
3677_BodoniURW-RegObl_fs_50_S_Layer 2,21,3,"[4, 12, 5]",12
3678_FranklinGothicURWCon-BooIta_fs_50_T_Layer 2,8,1,[8],8
3679_FranklinGothicURWCon-BooIta_fs_50_U_Layer 2,14,1,[14],14
3679_BodoniURW-RegObl_fs_50_U_Layer 2,18,2,"[13, 5]",13
367_ACaslonPro-SemiboldItalic_fs_50_4_Layer 2,14,2,"[9, 5]",9
367_AntiqueOliCom-Reg_fs_50_4_Layer 2,17,2,"[12, 5]",12
3680_BodoniURW-RegObl_fs_50_V_Layer 2,10,1,[10],10
3680_FranklinGothicURWCon-BooIta_fs_50_V_Layer 2,11,1,[11],11
3681_BodoniURW-RegObl_fs_50_W_Layer 2,27,2,"[20, 7]",20
3681_FranklinGothicURWCon-BooIta_fs_50_W_Layer 2,20,1,[20],20
3682_BodoniURW-RegObl_fs_50_X_Layer 2,17,2,"[11, 6]",11
3682_FranklinGothicURWCon-BooIta_fs_50_X_Layer 2,13,1,[13],13
3683_BodoniURW-RegObl_fs_50_Y_Layer 2,10,1,[10],10
3683_FranklinGothicURWCon-BooIta_fs_50_Y_Layer 2,8,1,[8],8
3684_BodoniURW-RegObl_fs_50_Z_Layer 2,11,1,[11],11
3684_FranklinGothicURWCon-BooIta_fs_50_Z_Layer 2,14,1,[14],14
3685_BodoniURW-RegObl_fs_50_a_Layer 2,18,2,"[5, 13]",13
3685_FranklinGothicURWCon-BooIta_fs_50_a_Layer 2,19,2,"[13, 6]",13
3687_BodoniURW-RegObl_fs_50_c_Layer 2,11,1,[11],11
3686_BodoniURW-RegObl_fs_50_b_Layer 2,18,2,"[10, 8]",10
3686_FranklinGothicURWCon-BooIta_fs_50_b_Layer 2,21,2,"[12, 9]",12
3687_FranklinGothicURWCon-BooIta_fs_50_c_Layer 2,13,1,[13],13
3688_BodoniURW-RegObl_fs_50_d_Layer 2,17,1,[17],17
3688_FranklinGothicURWCon-BooIta_fs_50_d_Layer 2,16,2,"[7, 9]",9
368_ACaslonPro-SemiboldItalic_fs_50_5_Layer 2,15,1,[15],15
3689_FranklinGothicURWCon-BooIta_fs_50_e_Layer 2,15,2,"[11, 4]",11
3689_BodoniURW-RegObl_fs_50_e_Layer 2,12,2,"[8, 4]",8
368_AntiqueOliCom-Reg_fs_50_5_Layer 2,17,1,[17],17
3690_BodoniURW-RegObl_fs_50_f_Layer 2,20,2,"[15, 5]",15
3690_FranklinGothicURWCon-BooIta_fs_50_f_Layer 2,11,1,[11],11
3691_FranklinGothicURWCon-BooIta_fs_50_g_Layer 2,28,3,"[15, 5, 8]",15
3691_BodoniURW-RegObl_fs_50_g_Layer 2,30,2,"[15, 15]",15
3692_FranklinGothicURWCon-BooIta_fs_50_h_Layer 2,15,1,[15],15
3692_BodoniURW-RegObl_fs_50_h_Layer 2,17,2,"[9, 8]",9
3693_FranklinGothicURWCon-BooIta_fs_50_i_Layer 2,8,2,"[3, 5]",5
3693_BodoniURW-RegObl_fs_50_i_Layer 2,12,2,"[5, 7]",7
3694_FranklinGothicURWCon-BooIta_fs_50_j_Layer 2,8,1,[8],8
3695_FranklinGothicURWCon-BooIta_fs_50_k_Layer 2,11,1,[11],11
3694_BodoniURW-RegObl_fs_50_j_Layer 2,17,2,"[5, 12]",12
3695_BodoniURW-RegObl_fs_50_k_Layer 2,23,3,"[10, 6, 7]",10
3697_BodoniURW-RegObl_fs_50_m_Layer 2,22,1,[22],22
3696_FranklinGothicURWCon-BooIta_fs_50_l_Layer 2,5,1,[5],5
3696_BodoniURW-RegObl_fs_50_l_Layer 2,8,1,[8],8
3697_FranklinGothicURWCon-BooIta_fs_50_m_Layer 2,23,1,[23],23
3698_FranklinGothicURWCon-BooIta_fs_50_n_Layer 2,13,1,[13],13
3698_BodoniURW-RegObl_fs_50_n_Layer 2,17,1,[17],17
3699_BodoniURW-RegObl_fs_50_o_Layer 2,14,2,"[7, 7]",7
3699_FranklinGothicURWCon-BooIta_fs_50_o_Layer 2,18,2,"[9, 9]",9
369_ACaslonPro-SemiboldItalic_fs_50_6_Layer 2,16,2,"[9, 7]",9
36_ACaslonPro-Bold_fs_50_j_Layer 2,15,2,"[5, 10]",10
36_AntiqueOli-Bol_fs_50_j_Layer 2,15,2,"[7, 8]",8
369_AntiqueOliCom-Reg_fs_50_6_Layer 2,17,2,"[12, 5]",12
3700_BodoniURW-RegObl_fs_50_p_Layer 2,17,1,[17],17
3700_FranklinGothicURWCon-BooIta_fs_50_p_Layer 2,18,2,"[9, 9]",9
3701_BodoniURW-RegObl_fs_50_q_Layer 2,20,2,"[8, 12]",12
3701_FranklinGothicURWCon-BooIta_fs_50_q_Layer 2,18,2,"[11, 7]",11
3702_BodoniURW-RegObl_fs_50_r_Layer 2,12,2,"[8, 4]",8
3702_FranklinGothicURWCon-BooIta_fs_50_r_Layer 2,9,1,[9],9
3703_FranklinGothicURWCon-BooIta_fs_50_s_Layer 2,19,1,[19],19
3703_BodoniURW-RegObl_fs_50_s_Layer 2,13,2,"[8, 5]",8
3704_BodoniURW-RegObl_fs_50_t_Layer 2,12,1,[12],12
3704_FranklinGothicURWCon-BooIta_fs_50_t_Layer 2,13,1,[13],13
3705_BodoniURW-RegObl_fs_50_u_Layer 2,14,2,"[7, 7]",7
3705_FranklinGothicURWCon-BooIta_fs_50_u_Layer 2,16,1,[16],16
3706_BodoniURW-RegObl_fs_50_v_Layer 2,9,1,[9],9
3706_FranklinGothicURWCon-BooIta_fs_50_v_Layer 2,9,1,[9],9
3707_BodoniURW-RegObl_fs_50_w_Layer 2,15,2,"[8, 7]",8
3708_BodoniURW-RegObl_fs_50_x_Layer 2,11,1,[11],11
3707_FranklinGothicURWCon-BooIta_fs_50_w_Layer 2,17,1,[17],17
3708_FranklinGothicURWCon-BooIta_fs_50_x_Layer 2,11,1,[11],11
3709_FranklinGothicURWCon-BooIta_fs_50_y_Layer 2,12,1,[12],12
3709_BodoniURW-RegObl_fs_50_y_Layer 2,9,2,"[6, 3]",6
370_ACaslonPro-SemiboldItalic_fs_50_7_Layer 2,9,1,[9],9
370_AntiqueOliCom-Reg_fs_50_7_Layer 2,8,1,[8],8
3710_FranklinGothicURWCon-BooIta_fs_50_z_Layer 2,10,1,[10],10
3710_BodoniURW-RegObl_fs_50_z_Layer 2,10,1,[10],10
3711_BodoniURW-RegObl_fs_50_0_Layer 2,13,2,"[6, 7]",7
3711_FranklinGothicURWCon-BooIta_fs_50_0_Layer 2,17,2,"[8, 9]",9
3712_BodoniURW-RegObl_fs_50_1_Layer 2,10,1,[10],10
3712_FranklinGothicURWCon-BooIta_fs_50_1_Layer 2,11,1,[11],11
3713_BodoniURW-RegObl_fs_50_2_Layer 2,21,3,"[8, 4, 9]",9
3713_FranklinGothicURWCon-BooIta_fs_50_2_Layer 2,15,1,[15],15
3714_FranklinGothicURWCon-BooIta_fs_50_3_Layer 2,20,1,[20],20
3714_BodoniURW-RegObl_fs_50_3_Layer 2,18,2,"[15, 3]",15
3715_BodoniURW-RegObl_fs_50_4_Layer 2,18,1,[18],18
3716_BodoniURW-RegObl_fs_50_5_Layer 2,19,2,"[8, 11]",11
3715_FranklinGothicURWCon-BooIta_fs_50_4_Layer 2,15,2,"[10, 5]",10
3716_FranklinGothicURWCon-BooIta_fs_50_5_Layer 2,17,1,[17],17
3717_BodoniURW-RegObl_fs_50_6_Layer 2,12,2,"[7, 5]",7
3718_BodoniURW-RegObl_fs_50_7_Layer 2,12,1,[12],12
3718_FranklinGothicURWCon-BooIta_fs_50_7_Layer 2,9,1,[9],9
3717_FranklinGothicURWCon-BooIta_fs_50_6_Layer 2,22,2,"[13, 9]",13
3719_BodoniURW-RegObl_fs_50_8_Layer 2,24,2,"[17, 7]",17
371_ACaslonPro-SemiboldItalic_fs_50_8_Layer 2,23,3,"[11, 7, 5]",11
3719_FranklinGothicURWCon-BooIta_fs_50_8_Layer 2,20,3,"[10, 5, 5]",10
3720_BodoniURW-RegObl_fs_50_9_Layer 2,14,1,[14],14
371_AntiqueOliCom-Reg_fs_50_8_Layer 2,21,3,"[11, 5, 5]",11
3720_FranklinGothicURWCon-BooIta_fs_50_9_Layer 2,20,2,"[11, 9]",11
3721_FranklinGothicURWCon-Dem_fs_50_A_Layer 2,14,2,"[9, 5]",9
3721_ClarendonURW-Bol_fs_50_A_Layer 2,22,2,"[17, 5]",17
3723_ClarendonURW-Bol_fs_50_C_Layer 2,15,1,[15],15
3723_FranklinGothicURWCon-Dem_fs_50_C_Layer 2,16,1,[16],16
3722_FranklinGothicURWCon-Dem_fs_50_B_Layer 2,18,3,"[8, 5, 5]",8
3722_ClarendonURW-Bol_fs_50_B_Layer 2,24,3,"[14, 5, 5]",14
3724_ClarendonURW-Bol_fs_50_D_Layer 2,17,2,"[12, 5]",12
3724_FranklinGothicURWCon-Dem_fs_50_D_Layer 2,12,2,"[7, 5]",7
3725_ClarendonURW-Bol_fs_50_E_Layer 2,23,1,[23],23
3725_FranklinGothicURWCon-Dem_fs_50_E_Layer 2,13,1,[13],13
3726_ClarendonURW-Bol_fs_50_F_Layer 2,20,1,[20],20
3726_FranklinGothicURWCon-Dem_fs_50_F_Layer 2,11,1,[11],11
3727_ClarendonURW-Bol_fs_50_G_Layer 2,21,1,[21],21
3727_FranklinGothicURWCon-Dem_fs_50_G_Layer 2,18,1,[18],18
3728_ClarendonURW-Bol_fs_50_H_Layer 2,26,1,[26],26
3728_FranklinGothicURWCon-Dem_fs_50_H_Layer 2,13,1,[13],13
3729_ClarendonURW-Bol_fs_50_I_Layer 2,13,1,[13],13
3729_FranklinGothicURWCon-Dem_fs_50_I_Layer 2,5,1,[5],5
372_ACaslonPro-SemiboldItalic_fs_50_9_Layer 2,15,2,"[8, 7]",8
3730_ClarendonURW-Bol_fs_50_J_Layer 2,14,1,[14],14
372_AntiqueOliCom-Reg_fs_50_9_Layer 2,15,2,"[10, 5]",10
3730_FranklinGothicURWCon-Dem_fs_50_J_Layer 2,7,1,[7],7
3731_ClarendonURW-Bol_fs_50_K_Layer 2,24,1,[24],24
3731_FranklinGothicURWCon-Dem_fs_50_K_Layer 2,15,1,[15],15
3733_ClarendonURW-Bol_fs_50_M_Layer 2,26,1,[26],26
3732_FranklinGothicURWCon-Dem_fs_50_L_Layer 2,7,1,[7],7
3732_ClarendonURW-Bol_fs_50_L_Layer 2,15,1,[15],15
3733_FranklinGothicURWCon-Dem_fs_50_M_Layer 2,17,1,[17],17
3734_ClarendonURW-Bol_fs_50_N_Layer 2,24,1,[24],24
3734_FranklinGothicURWCon-Dem_fs_50_N_Layer 2,13,1,[13],13
3735_ClarendonURW-Bol_fs_50_O_Layer 2,13,2,"[5, 8]",8
3735_FranklinGothicURWCon-Dem_fs_50_O_Layer 2,16,2,"[8, 8]",8
3736_FranklinGothicURWCon-Dem_fs_50_P_Layer 2,14,2,"[9, 5]",9
3736_ClarendonURW-Bol_fs_50_P_Layer 2,21,2,"[16, 5]",16
3737_ClarendonURW-Bol_fs_50_Q_Layer 2,24,3,"[12, 6, 6]",12
3737_FranklinGothicURWCon-Dem_fs_50_Q_Layer 2,17,2,"[9, 8]",9
3738_FranklinGothicURWCon-Dem_fs_50_R_Layer 2,16,2,"[11, 5]",11
3738_ClarendonURW-Bol_fs_50_R_Layer 2,24,2,"[19, 5]",19
3739_ClarendonURW-Bol_fs_50_S_Layer 2,23,1,[23],23
3739_FranklinGothicURWCon-Dem_fs_50_S_Layer 2,18,1,[18],18
373_AGaramondPro-Bold_fs_50_A_Layer 2,18,2,"[14, 4]",14
373_AntiqueOliCom-RegIta_fs_50_A_Layer 2,14,2,"[9, 5]",9
3740_ClarendonURW-Bol_fs_50_T_Layer 2,15,1,[15],15
3740_FranklinGothicURWCon-Dem_fs_50_T_Layer 2,9,1,[9],9
3741_FranklinGothicURWCon-Dem_fs_50_U_Layer 2,13,1,[13],13
3742_ClarendonURW-Bol_fs_50_V_Layer 2,16,1,[16],16
3741_ClarendonURW-Bol_fs_50_U_Layer 2,18,1,[18],18
3742_FranklinGothicURWCon-Dem_fs_50_V_Layer 2,9,1,[9],9
3743_ClarendonURW-Bol_fs_50_W_Layer 2,25,1,[25],25
3743_FranklinGothicURWCon-Dem_fs_50_W_Layer 2,17,1,[17],17
3744_ClarendonURW-Bol_fs_50_X_Layer 2,21,1,[21],21
3744_FranklinGothicURWCon-Dem_fs_50_X_Layer 2,15,1,[15],15
3746_ClarendonURW-Bol_fs_50_Z_Layer 2,16,1,[16],16
3745_ClarendonURW-Bol_fs_50_Y_Layer 2,18,1,[18],18
3745_FranklinGothicURWCon-Dem_fs_50_Y_Layer 2,10,1,[10],10
3746_FranklinGothicURWCon-Dem_fs_50_Z_Layer 2,11,1,[11],11
3748_ClarendonURW-Bol_fs_50_b_Layer 2,18,2,"[11, 7]",11
3747_ClarendonURW-Bol_fs_50_a_Layer 2,26,2,"[20, 6]",20
3747_FranklinGothicURWCon-Dem_fs_50_a_Layer 2,18,2,"[13, 5]",13
3748_FranklinGothicURWCon-Dem_fs_50_b_Layer 2,15,2,"[9, 6]",9
3749_FranklinGothicURWCon-Dem_fs_50_c_Layer 2,15,1,[15],15
3749_ClarendonURW-Bol_fs_50_c_Layer 2,14,1,[14],14
374_AGaramondPro-Bold_fs_50_B_Layer 2,20,3,"[10, 5, 5]",10
374_AntiqueOliCom-RegIta_fs_50_B_Layer 2,18,3,"[10, 4, 4]",10
3750_ClarendonURW-Bol_fs_50_d_Layer 2,21,2,"[13, 8]",13
3750_FranklinGothicURWCon-Dem_fs_50_d_Layer 2,16,2,"[8, 8]",8
3751_ClarendonURW-Bol_fs_50_e_Layer 2,13,2,"[9, 4]",9
3751_FranklinGothicURWCon-Dem_fs_50_e_Layer 2,15,2,"[11, 4]",11
3752_ClarendonURW-Bol_fs_50_f_Layer 2,17,1,[17],17
3752_FranklinGothicURWCon-Dem_fs_50_f_Layer 2,13,1,[13],13
3754_ClarendonURW-Bol_fs_50_h_Layer 2,21,1,[21],21
3754_FranklinGothicURWCon-Dem_fs_50_h_Layer 2,15,1,[15],15
3753_ClarendonURW-Bol_fs_50_g_Layer 2,27,3,"[20, 4, 3]",20
3753_FranklinGothicURWCon-Dem_fs_50_g_Layer 2,27,3,"[15, 5, 7]",15
3755_ClarendonURW-Bol_fs_50_i_Layer 2,14,2,"[5, 9]",9
3756_ClarendonURW-Bol_fs_50_j_Layer 2,18,2,"[5, 13]",13
3755_FranklinGothicURWCon-Dem_fs_50_i_Layer 2,10,2,"[5, 5]",5
3756_FranklinGothicURWCon-Dem_fs_50_j_Layer 2,13,2,"[5, 8]",8
3757_ClarendonURW-Bol_fs_50_k_Layer 2,22,1,[22],22
3758_ClarendonURW-Bol_fs_50_l_Layer 2,12,1,[12],12
3758_FranklinGothicURWCon-Dem_fs_50_l_Layer 2,5,1,[5],5
3757_FranklinGothicURWCon-Dem_fs_50_k_Layer 2,14,1,[14],14
3759_ClarendonURW-Bol_fs_50_m_Layer 2,26,1,[26],26
375_AGaramondPro-Bold_fs_50_C_Layer 2,13,1,[13],13
3759_FranklinGothicURWCon-Dem_fs_50_m_Layer 2,22,1,[22],22
3760_ClarendonURW-Bol_fs_50_n_Layer 2,20,1,[20],20
375_AntiqueOliCom-RegIta_fs_50_C_Layer 2,12,1,[12],12
3761_ClarendonURW-Bol_fs_50_o_Layer 2,13,2,"[5, 8]",8
3762_ClarendonURW-Bol_fs_50_p_Layer 2,23,2,"[15, 8]",15
3760_FranklinGothicURWCon-Dem_fs_50_n_Layer 2,14,1,[14],14
3761_FranklinGothicURWCon-Dem_fs_50_o_Layer 2,16,2,"[8, 8]",8
3762_FranklinGothicURWCon-Dem_fs_50_p_Layer 2,16,2,"[8, 8]",8
3763_ClarendonURW-Bol_fs_50_q_Layer 2,22,2,"[14, 8]",14
3763_FranklinGothicURWCon-Dem_fs_50_q_Layer 2,17,2,"[9, 8]",9
3764_ClarendonURW-Bol_fs_50_r_Layer 2,15,1,[15],15
3766_ClarendonURW-Bol_fs_50_t_Layer 2,15,1,[15],15
3765_FranklinGothicURWCon-Dem_fs_50_s_Layer 2,19,1,[19],19
3764_FranklinGothicURWCon-Dem_fs_50_r_Layer 2,8,1,[8],8
3765_ClarendonURW-Bol_fs_50_s_Layer 2,20,1,[20],20
3766_FranklinGothicURWCon-Dem_fs_50_t_Layer 2,14,1,[14],14
3767_ClarendonURW-Bol_fs_50_u_Layer 2,19,1,[19],19
3768_ClarendonURW-Bol_fs_50_v_Layer 2,15,1,[15],15
3767_FranklinGothicURWCon-Dem_fs_50_u_Layer 2,15,1,[15],15
3768_FranklinGothicURWCon-Dem_fs_50_v_Layer 2,9,1,[9],9
3769_ClarendonURW-Bol_fs_50_w_Layer 2,24,1,[24],24
3769_FranklinGothicURWCon-Dem_fs_50_w_Layer 2,17,1,[17],17
376_AGaramondPro-Bold_fs_50_D_Layer 2,15,2,"[9, 6]",9
3770_ClarendonURW-Bol_fs_50_x_Layer 2,21,1,[21],21
3770_FranklinGothicURWCon-Dem_fs_50_x_Layer 2,14,1,[14],14
376_AntiqueOliCom-RegIta_fs_50_D_Layer 2,11,2,"[7, 4]",7
3771_ClarendonURW-Bol_fs_50_y_Layer 2,21,1,[21],21
3771_FranklinGothicURWCon-Dem_fs_50_y_Layer 2,14,1,[14],14
3772_FranklinGothicURWCon-Dem_fs_50_z_Layer 2,9,1,[9],9
3772_ClarendonURW-Bol_fs_50_z_Layer 2,13,1,[13],13
3774_ClarendonURW-Bol_fs_50_1_Layer 2,13,1,[13],13
3773_FranklinGothicURWCon-Dem_fs_50_0_Layer 2,16,2,"[8, 8]",8
3773_ClarendonURW-Bol_fs_50_0_Layer 2,13,2,"[5, 8]",8
3774_FranklinGothicURWCon-Dem_fs_50_1_Layer 2,11,1,[11],11
3776_ClarendonURW-Bol_fs_50_3_Layer 2,22,1,[22],22
3775_ClarendonURW-Bol_fs_50_2_Layer 2,20,1,[20],20
3775_FranklinGothicURWCon-Dem_fs_50_2_Layer 2,16,1,[16],16
3776_FranklinGothicURWCon-Dem_fs_50_3_Layer 2,16,1,[16],16
3777_ClarendonURW-Bol_fs_50_4_Layer 2,17,2,"[13, 4]",13
3778_ClarendonURW-Bol_fs_50_5_Layer 2,18,1,[18],18
3777_FranklinGothicURWCon-Dem_fs_50_4_Layer 2,17,2,"[12, 5]",12
3778_FranklinGothicURWCon-Dem_fs_50_5_Layer 2,16,1,[16],16
377_AGaramondPro-Bold_fs_50_E_Layer 2,19,1,[19],19
3779_ClarendonURW-Bol_fs_50_6_Layer 2,18,2,"[11, 7]",11
3779_FranklinGothicURWCon-Dem_fs_50_6_Layer 2,16,2,"[11, 5]",11
377_AntiqueOliCom-RegIta_fs_50_E_Layer 2,13,1,[13],13
3780_ClarendonURW-Bol_fs_50_7_Layer 2,15,1,[15],15
3780_FranklinGothicURWCon-Dem_fs_50_7_Layer 2,9,1,[9],9
3781_ClarendonURW-Bol_fs_50_8_Layer 2,23,3,"[10, 8, 5]",10
3781_FranklinGothicURWCon-Dem_fs_50_8_Layer 2,17,3,"[8, 4, 5]",8
3782_ClarendonURW-Bol_fs_50_9_Layer 2,17,2,"[12, 5]",12
3782_FranklinGothicURWCon-Dem_fs_50_9_Layer 2,17,2,"[12, 5]",12
3783_ClarendonURW-BolObl_fs_50_A_Layer 2,21,2,"[16, 5]",16
3783_FranklinGothicURWCon-DemIta_fs_50_A_Layer 2,14,2,"[9, 5]",9
3784_ClarendonURW-BolObl_fs_50_B_Layer 2,26,3,"[13, 6, 7]",13
3785_FranklinGothicURWCon-DemIta_fs_50_C_Layer 2,16,1,[16],16
3785_ClarendonURW-BolObl_fs_50_C_Layer 2,16,1,[16],16
3784_FranklinGothicURWCon-DemIta_fs_50_B_Layer 2,19,3,"[9, 5, 5]",9
3786_ClarendonURW-BolObl_fs_50_D_Layer 2,16,2,"[11, 5]",11
3787_FranklinGothicURWCon-DemIta_fs_50_E_Layer 2,13,1,[13],13
3786_FranklinGothicURWCon-DemIta_fs_50_D_Layer 2,12,2,"[7, 5]",7
3787_ClarendonURW-BolObl_fs_50_E_Layer 2,21,1,[21],21
3788_ClarendonURW-BolObl_fs_50_F_Layer 2,23,1,[23],23
3788_FranklinGothicURWCon-DemIta_fs_50_F_Layer 2,11,1,[11],11
378_AGaramondPro-Bold_fs_50_F_Layer 2,16,1,[16],16
3789_FranklinGothicURWCon-DemIta_fs_50_G_Layer 2,20,1,[20],20
3789_ClarendonURW-BolObl_fs_50_G_Layer 2,22,1,[22],22
378_AntiqueOliCom-RegIta_fs_50_F_Layer 2,11,1,[11],11
3790_FranklinGothicURWCon-DemIta_fs_50_H_Layer 2,13,1,[13],13
3790_ClarendonURW-BolObl_fs_50_H_Layer 2,26,1,[26],26
3791_ClarendonURW-BolObl_fs_50_I_Layer 2,14,1,[14],14
3791_FranklinGothicURWCon-DemIta_fs_50_I_Layer 2,5,1,[5],5
3792_FranklinGothicURWCon-DemIta_fs_50_J_Layer 2,8,1,[8],8
3793_ClarendonURW-BolObl_fs_50_K_Layer 2,25,1,[25],25
3792_ClarendonURW-BolObl_fs_50_J_Layer 2,16,1,[16],16
3793_FranklinGothicURWCon-DemIta_fs_50_K_Layer 2,14,1,[14],14
3794_ClarendonURW-BolObl_fs_50_L_Layer 2,14,1,[14],14
3795_ClarendonURW-BolObl_fs_50_M_Layer 2,27,1,[27],27
3794_FranklinGothicURWCon-DemIta_fs_50_L_Layer 2,7,1,[7],7
3795_FranklinGothicURWCon-DemIta_fs_50_M_Layer 2,17,1,[17],17
3796_ClarendonURW-BolObl_fs_50_N_Layer 2,23,1,[23],23
3796_FranklinGothicURWCon-DemIta_fs_50_N_Layer 2,13,1,[13],13
3797_ClarendonURW-BolObl_fs_50_O_Layer 2,13,2,"[5, 8]",8
3797_FranklinGothicURWCon-DemIta_fs_50_O_Layer 2,17,2,"[8, 9]",9
3798_ClarendonURW-BolObl_fs_50_P_Layer 2,23,2,"[17, 6]",17
3799_ClarendonURW-BolObl_fs_50_Q_Layer 2,23,3,"[10, 7, 6]",10
3798_FranklinGothicURWCon-DemIta_fs_50_P_Layer 2,13,2,"[8, 5]",8
379_AGaramondPro-Bold_fs_50_G_Layer 2,15,1,[15],15
3799_FranklinGothicURWCon-DemIta_fs_50_Q_Layer 2,18,2,"[9, 9]",9
